location_tag,river_level,x,y,distance_pixels
luquan,4,12362,3372,1.0
gradiski_brod,5,8484,2234,1.0
charang,4,13554,1094,1.0
takuru_puku,5,5215,6223,1.0
donge,1,12987,2779,1.0
zimnyatsky,3,9663,1945,1.0
nakaigetergehe,5,4980,6485,1.0
ulakhan_kyuyol,3,13433,874,1.0
jacui,4,5354,6530,1.0
kaxarari,5,4712,5372,1.0
jiyuan,3,12791,2857,1.0
muromtsevo,5,11089,1447,1.4142135623730951
good_hope,5,1817,722,1.0
waldshut,1,8064,2066,1.0
k_enakatnu,3,840,1073,1.0
sao_leopoldo,4,5352,6526,1.0
nyachukha,3,12291,3177,1.0
kuchugur,5,9279,2075,1.0
chateaubriant,3,7647,2081,1.0
yendyr,5,10771,1071,1.0
satere_mawe,5,5155,5066,1.0
cherkasy,5,9195,1968,2.23606797749979
melk,3,8389,2027,1.0
tocantis,4,5503,5132,1.0
gdansk,3,8551,1615,1.0
meizhou,3,12419,3149,1.0
berdsk,3,11471,1569,1.0
cootcla,3,3702,2870,1.0
wanzhou,5,12630,3103,1.0
karasor,3,11211,1785,1.0
huichuan_dechang,4,12356,3370,1.0
awatixa,3,3015,2052,1.0
bitki,5,14076,1761,1.0
adony,4,8549,2097,1.0
waiwai,5,4875,4865,1.0
muang_sua,4,12327,3758,1.0
cairo,3,9114,3154,1.0
akhmim,4,9125,3339,1.0
buganda,4,9194,4810,1.0
dluk,3,9412,2722,1.0
siverek,3,9475,2678,1.0
tikrit,3,9665,2851,1.0
al_qatr,3,9819,3100,1.0
qollaxalec,5,5010,6380,1.0
saygatsky,5,10158,1478,1.0
balagansk,4,12389,1595,1.0
guarapuava,3,5314,6283,1.0
tavan,3,9223,2109,1.0
kazan,4,9923,1526,1.0
shabash,4,14792,573,1.4142135623730951
oskemen,3,11414,1894,1.0
benfeld,3,8041,2020,1.0
bardak,5,10753,1033,1.0
peewareewa,4,3542,2514,1.0
elcui,1,4604,7077,1.0
rejaf,4,9131,4570,1.0
zenzevatka,5,9753,1925,1.0
nemaha,5,3331,2522,1.0
xakriaba,1,5707,5616,1.0
eexiwa,4,5062,5896,1.0
pacaha,5,3591,2829,1.0
jiayu,5,12880,3144,1.0
takawng,4,12074,3513,1.0
buriti,4,5661,5712,1.0
anoixi,3,3459,2851,1.0
vasilyeva_sloboda,3,9653,1420,1.0
zhelezin,3,11106,1654,1.0
tuxa,5,5926,5335,3.1622776601683795
ichera,5,12677,1330,3.0
jaguarari,4,5823,5362,1.0
longping_pingle,3,12735,3494,1.0
upper_angara,4,12209,1296,1.0
thai_binh,4,12522,3702,1.0
wujing,3,12212,3412,1.0
bikrampur,5,11774,3511,1.0
mako,3,8611,2154,1.0
sarai_al_jadid,5,9715,2006,1.0
tchitogama,3,4447,1948,1.0
khatas,4,13590,954,1.0
gongshan,3,12173,3267,1.0
parkateje,4,5482,5129,1.0
timbu,5,4978,6731,1.0
kasevo,5,10177,1515,1.0
duyang,3,12591,3489,1.0
nguyi,4,8129,4897,1.0
itihumma,5,3527,3112,1.0
kanisianas,5,4720,5613,1.0
nicalaax,3,14403,436,1.0
captina,3,4017,2517,1.0
khargytyr,3,14385,479,1.0
tuvicha_mini,3,5008,6862,1.0
lebyazhye,3,11214,1785,1.0
urka,3,13258,1671,1.0
tygde,3,13479,1694,1.0
huangpi,5,12898,3116,1.0
sutara,4,13640,1991,1.0
imaapik,3,4695,1339,1.0
minxian,5,13121,3390,2.23606797749979
plock,3,8591,1741,1.0
akbarpur,4,11461,3359,1.0
kosi,3,11653,3358,1.4142135623730951
pagashi,3,3936,1778,1.0
peoria,3,3588,2537,1.0
xucheng,3,12980,2792,1.0
attaock,3,4199,2550,1.0
rongshui,3,12667,3440,1.0
yiling,5,12740,3104,1.0
katha,4,12086,3486,1.0
bhimber,3,11094,2980,1.0
bhera,3,11007,3012,1.0
mirat,3,11244,3201,1.0
channan_pir,3,10951,3193,1.0
eidsvoll,3,8200,1198,1.0
